
--  >dom----------
|.. 0
|.. |..0.52
|.. |..|..0.76
|.. |..|..|..0.88
|.. |..|..|..|..0.97
band
band
$atleast, >d, $done_percent, <ep, $learning_curve, <np, $nprod, $optimism, $pomposity, $productivity_exp, $productivity_new, $r, $to, $ts, >dom, !klass
4.54,2.91,8.77,20.01,22.4,5.99,0.62,10.43,28.01,1.93,0.01,608.86,32.84,23.27,0,520
5.96,32.76,7.62,17.54,77.73,18.46,0.5,34.89,61.26,4.64,0.82,962.5,52.13,2.73,0,..0.97
4.75,3.49,1.74,12.9,52.99,13.1,0.1,67.92,85.85,8.46,0.13,442.27,15.85,37.04,0,..0.97
8.98,8.42,9.53,17.85,68.38,18.15,0.13,35.8,62.24,4.21,0.94,760.24,17.28,46,0,..0.97
7.74,14.38,7.5,9.24,93.05,16.76,0.66,23.17,0.45,6.69,0.03,923.57,43.22,33.5,0,..0.97
7.79,9.51,0.19,19.83,33.9,8.17,0.3,51.08,98.3,2.16,0.68,747.63,75.39,47.31,0,..0.97
1.24,15.75,2.52,29.85,24.36,8.15,0.64,99.94,14.11,2.58,0.01,157.78,5.65,14.88,0,..0.97
9.28,17.99,3.37,27.03,31.33,10.97,0.17,19.24,85.7,8.74,0.85,723.21,6.49,33.62,0,..0.97
0.24,6.84,0.65,14.02,69.53,16.98,0.18,64.56,14.54,6.19,0.18,528.86,60.72,5.45,0,..0.97
5.8,7.85,2.03,15.18,84.66,14.82,0.13,86.77,73.68,4.41,0.68,390.95,29.6,16.06,0,..0.97
4.31,4.05,1.1,29.19,14.16,2.81,0.13,45.75,15.34,4.87,0.34,554.01,32.7,37.8,0,..0.97
8.65,19.71,9.21,25.69,23.1,7.31,1.48,12.62,82.76,2.05,0.1,583.44,36.34,84.6,0,..0.97
8.08,27.87,4.89,7.66,73.1,13.34,3.59,95.97,68.65,5.93,0.09,123.37,50.2,81.86,0.01,..0.97
0.29,25.43,9.23,31.94,6.54,0.06,0.45,66.52,64.68,5.07,0.77,132.72,38.87,67.65,0.01,..0.97
3.73,23.04,4.79,12.82,74.8,18.18,1.09,0.76,89.43,3.99,0.19,394.05,85.39,83.17,0.01,..0.97
5.36,7.29,3.99,12.57,62.68,17.43,0.26,13.16,88.02,2.95,0.66,572.95,30.47,69.07,0.01,..0.97
0.69,10.76,1.29,12.23,68.15,18.77,0.42,91.74,56.22,9.75,0.16,386.15,18.54,46.02,0.01,..0.97
0.16,31.93,0.83,16.78,68.49,16.22,2.59,21.04,7.07,1.05,0.15,584.34,25.8,67.4,0.01,..0.97
4.99,6.5,0.54,14.99,51.56,14.01,0.13,26.84,27.51,9.9,0.11,504.59,5.14,25.15,0.01,..0.97
4.22,11.46,0.46,9.61,92.97,20.39,0.37,0.44,84.04,4.57,0.7,831.95,68.8,82.37,0.01,..0.97
4.95,9.18,4.49,16.88,26.25,7.12,1.03,65.19,76.23,8.1,0,126.89,43.84,84.9,0.02,..0.97
1.99,1.6,5.68,15.68,23.4,5.32,0.14,88.44,8.46,4.8,0.22,701.93,61.92,56.74,0.02,..0.97
5.45,10.34,8.44,10.96,54.88,11.04,0.4,72.34,91.35,7.16,0.14,94.99,16.42,37.97,0.02,..0.97
9.93,4.42,8.31,17.94,31.77,8.06,0.15,32.34,14.76,3.72,0.24,984.74,78.71,63.8,0.02,..0.97
7.97,39.47,3.07,11.73,75.68,18.27,3.2,63.14,3.56,2.25,0.2,391.19,98.6,66.77,0.02,..0.97
4.88,14.46,6.16,14.76,37.33,10.24,0.9,41.67,8.29,1.93,0.53,689.07,95.15,75.83,0.02,..0.97
3.02,48.76,3.97,16.18,99.34,20.82,1.8,23.27,21.77,2.51,0.15,478.59,25.16,59.82,0.02,..0.97
5.15,15.93,1.84,14.46,62.2,10.54,0.25,30.13,38.5,7.49,0.13,268.67,35.13,83.68,0.02,..0.97
0.06,13.81,9.02,13.47,57.51,9.53,0.49,9.99,15.18,3.08,0.36,341.83,74.52,10.14,0.02,..0.97
4.63,44.06,6.63,10.39,86.44,20.61,1.65,46.72,20.81,4.36,0.61,9.7,28.93,91.83,0.03,..0.97
9.22,12.54,1.54,14.73,45.46,8.27,0.7,49.45,48.81,2.4,0.04,309.82,74.28,47.43,0.03,..0.97
5.45,14.45,6.27,20.31,32.1,9.69,0.33,92.25,90.3,6.95,0.36,713.91,32.66,57.2,0.03,..0.97
9.05,13.7,1.83,7.6,56.06,9.4,1.18,97.94,73.25,1.68,0.58,557.15,37.12,19.38,0.03,..0.97
2.31,15.43,0.66,18.77,17.44,3.23,1.34,32.44,39.72,1.54,0.39,514.58,77.16,54.66,0.03,..0.97
6.71,26.43,2.3,14.41,51.07,10.59,1.98,21.27,95.57,2.19,0.01,916.31,8.94,3.4,0.03,..0.97
8.56,8.67,1.12,18.43,29.46,9.57,0.35,15.66,88.41,1.48,0.79,456.35,11.26,96.85,0.03,..0.97
4.83,24.65,3.38,15.7,50.63,13.3,1.55,49.5,65.4,2.49,0.13,34.66,13.65,85.3,0.03,..0.97
9.17,9.16,7.95,10.85,70.26,11.15,0.23,56.35,16.54,5.47,0.59,30.89,74.47,51.21,0.04,..0.97
6.59,26.07,7.89,18.12,62.15,14.88,1.68,45.29,14.79,1.39,0.11,488.77,3.36,33.38,0.04,..0.97
6.71,39.65,4.63,14.59,79.52,12.41,0.78,47.03,10.4,4.84,0.38,168.94,6.5,94.86,0.04,..0.97
6.76,4.48,4.39,11.56,42.77,6.44,0.57,37.73,1.96,1.25,0.08,87.88,23.87,35.64,0.04,..0.97
3.57,17.37,8.66,28.93,6.62,0.07,0.51,61.86,17.36,3.74,0.56,757.79,74.9,16.99,0.04,..0.97
1.95,24.52,5.65,26.87,17.29,4.13,0.52,26.82,75.81,4.43,0.89,909.07,8.99,99.33,0.04,..0.97
1.15,19.69,0.16,10.31,77.27,15.69,1.1,0.19,10.01,3.31,0.34,870.94,37.82,64.35,0.04,..0.97
1.82,3.7,5.37,12.41,59.72,14.59,0.19,50.21,43.23,3.66,0.24,530.99,13.03,93.64,0.04,..0.97
8.62,29.2,0.02,13.86,71.03,17.14,0.59,58.19,73.73,6.46,0.65,573.88,21.87,5.06,0.04,..0.97
6.89,20.2,7.72,16.19,34.46,5.81,0.32,37.14,28.23,6.35,0.83,768.73,66.74,28.08,0.04,..0.97
7.07,2.16,0.18,11.21,35,3.79,0.12,86.79,54.37,1.2,0.68,366.11,7.1,10.31,0.04,..0.97
8.32,11.09,6.65,6.79,76.23,12.21,1.03,20.81,21.31,2.42,0.45,504.06,81.61,44.74,0.04,..0.97
2.33,36.31,0.28,11.43,84.29,10.57,0.93,80.34,61.08,4.69,0.35,730.96,9.29,97.08,0.05,..0.97
5.12,4.78,7.94,5.6,64.09,4.4,0.8,44.64,55.61,1.75,0.01,696.72,71.76,31.77,0.05,..0.97
5.53,46.66,3.11,14.74,53.16,14.26,4.9,76.8,54.2,2.29,0.01,796.83,21.43,7.2,0.05,..0.97
8.83,24.6,8.61,17.88,53.16,13.12,0.8,64.02,61,3.16,0.22,871.33,65.88,47.78,0.05,..0.97
1.39,38.79,6.38,16.71,42.35,12.29,2.18,27.34,29.07,4.21,0.02,281.38,28.99,94.93,0.05,..0.97
5.02,2.55,1.51,10.12,71.21,11.88,0.22,16.7,60.33,1.06,0.28,743.25,48.05,68.24,0.05,..0.97
4.6,5.8,6.77,24.56,1.5,0,0.17,60.41,48.78,2.94,0.65,515.26,68.3,4.25,0.05,..0.97
2.59,21.42,5.42,10.19,66.52,12.81,0.91,30.8,65.2,3.22,0.64,959.53,45.34,54.75,0.06,..0.97
7.15,21.62,4.91,12.49,49.09,12.51,1,97.15,2.61,7.45,0.25,670.98,23.69,43.92,0.06,..0.97
9.6,9.94,2.55,14.08,38.99,6.92,0.94,28.75,74.01,1.22,0.17,706.98,22.67,73.22,0.06,..0.97
3.47,100,1.22,8.8,33.71,26.2,2.13,80.33,70.59,6.01,0.43,118.97,79.47,9.97,0.06,..0.97
9.77,10.06,0.18,7.69,57.12,8.31,0.74,35.65,19.36,1.72,0.67,638.75,58.13,53.85,0.06,..0.97
3.81,20.06,3.74,10.81,85.99,14.19,0.91,57.29,96.6,2.66,0.42,104.93,73.25,5.5,0.06,..0.97
2.47,19.9,4.86,7.67,98.76,16.33,2.81,20.02,13.57,1.76,0.15,708.04,88.13,1.18,0.06,..0.97
8.24,37.34,7.86,11.94,64.64,17.06,2.07,51.17,5.5,6.27,0.2,449.77,86.8,39.52,0.06,..0.97
9.09,30.87,2.97,26.28,2.36,0,1.35,72.86,11.89,6.42,0.45,208.26,48.93,38.32,0.06,..0.97
7.06,27.9,1.09,29,5.16,0,0.37,27.88,75.42,7.4,0.71,895.18,97.63,7.99,0.06,..0.97
8.35,62.33,4.09,15.73,46.7,15.27,3.12,74.49,35.94,9.89,0,767.88,53.56,51.59,0.07,..0.97
5.12,38.07,3.56,14.88,48.02,9.12,2.13,43.37,16.36,1.67,0.36,394.75,21.62,87.27,0.07,..0.97
0.05,58.38,2.85,18.94,56.14,17.06,3.19,83.24,58.94,1.49,0.27,704.98,72.08,12.83,0.07,..0.97
4.27,10.33,8.67,8.08,65.83,8.92,0.71,2.76,54.39,3.36,0.22,801.33,3.84,30.12,0.07,..0.97
0.03,11.04,1.43,15.97,25.81,3.03,0.16,25.8,28.45,6.64,0.52,915.35,85.89,99.11,0.07,..0.97
7.61,20.89,9.3,7.45,54.86,7.55,1.04,51.31,21.1,6.41,0.53,212.81,54.97,54.44,0.07,..0.97
0.03,47.97,9.34,20.5,23.05,6.5,2.6,11.18,37.47,4.84,0.34,417.82,50.97,72.63,0.07,..0.97
3.85,25.18,0.17,19.26,33.79,7.74,0.26,46.85,40.47,9.66,0.84,677.89,25.58,78.68,0.07,..0.97
6.18,3.18,9.74,15,4.64,0,0.18,87.45,70.47,5.87,0.29,417.89,98.45,64.2,0.07,..0.97
2.16,6,5.66,8.46,92.12,6.54,0.19,27.72,71.17,4.16,0.55,749.13,92.52,41.58,0.07,..0.97
0.29,50.59,2.98,13.02,59.45,16.98,4.36,40.73,19.21,4.76,0.07,628.18,85.7,44.77,0.07,..0.97
3.95,23.17,8.4,26.75,8.39,0.25,0.34,11.26,40.2,7.11,0.13,757.63,36.85,52,0.07,..0.97
8.41,29.79,7.46,8.65,90.81,17.35,4.38,68.99,25.26,2.6,0.06,287.67,67.11,90.41,0.08,..0.97
4.15,55.63,9.99,13.27,77.79,15.73,1.22,79.11,33.67,6.18,0.37,222.88,90.32,86.64,0.08,..0.97
4.34,43.32,8.08,18.39,30.07,7.61,1.62,9.42,75.35,4.67,0.14,569.16,98.73,39.08,0.08,..0.97
4.83,5.87,1.53,5.62,85.84,6.38,0.71,58.05,86.35,2.27,0.04,612.71,21.61,29.37,0.08,..0.97
9.66,69.36,9.92,12.67,55.28,16.33,3.78,75.18,56.69,6.17,0.43,121.27,18.75,61.77,0.08,..0.97
9.37,72.16,5.19,19.09,55.26,16.91,1.46,78.64,49.13,6.78,0.05,298.27,71.97,21.72,0.08,..0.97
0.52,40.32,4.41,15,30.53,7,2.88,42.56,39.52,1.23,0.54,675.45,70.06,2.21,0.08,..0.97
2.13,5.53,1.73,15,4.67,0,0.22,64.6,88.68,2.89,0.84,862.53,69.04,74.08,0.08,..0.97
5.44,12.69,4.34,12.87,8.15,0.13,2.04,0.2,61.67,2.07,0.16,978.18,66.11,80.81,0.08,..0.97
1.66,46.51,4.96,20.07,21.68,5.93,2.33,8.82,89.28,8.72,0.44,370,21.86,72.17,0.08,..0.97
9.64,3.02,9.53,11.78,9.23,0.22,0.12,14.54,81.09,9.05,0.1,241.1,6.94,96.47,0.08,..0.97
0.96,50.83,3.28,9.47,87.14,18.53,2.35,84.64,54.37,4.8,0.45,710.18,86.98,60.49,0.08,..0.97
4.34,49.2,0.57,20.12,39.95,9.88,1.63,94.71,81.41,2.03,0.56,285.23,42.61,23.61,0.08,..0.97
4.08,1.32,5.2,8.74,33.57,5.26,0.17,0.21,58.4,2.67,0.1,915.81,73.77,99.61,0.08,..0.97
3.25,12.21,8.72,7.02,50.48,4.98,2.09,89.98,33.91,1.16,0.21,94.1,78.49,66.93,0.09,..0.97
4.35,3.52,7.12,8.54,36.08,3.46,0.29,52.08,74.6,1.29,0.8,126.75,81.01,2.03,0.09,..0.97
3.63,21.1,0.8,15.28,37.89,11.72,6.49,75.21,26.45,2.19,0.04,293.27,73.56,77.41,0.09,..0.97
7,1.74,1.73,3.23,50.5,2.77,0.11,77.54,4.8,6.54,0.87,637.46,92.23,32.23,0.09,..0.97
2.15,77.23,6.01,33.44,9.17,0.56,2.47,14.11,57.18,3.24,0.2,424.61,52.7,47.36,0.09,..0.97
8.12,27.78,5.05,11.48,86.19,8.52,1.77,23.05,53.88,1.51,0.27,6.04,43.71,10.77,0.09,..0.97
6.6,13.99,0.85,5.62,82.14,8.38,0.69,97.13,18.34,9.3,0.07,474.47,96.23,35.67,0.09,..0.97
4.57,47.9,0.63,6.99,96.7,14.01,4.8,59.21,80.67,2.9,0.21,318.94,6.42,85.1,0.09,..0.97
1.37,50.57,5.58,9.12,90.47,15.88,1.86,64.42,94.51,2.46,0.88,584.72,4.06,77.72,0.09,..0.97
8.82,100,6.87,7.8,35.04,27.2,2.42,48.5,91.1,9.87,0.21,574.78,17.8,83.93,0.1,..0.97
8.51,13.93,4.53,7.73,54.6,9.27,2.65,39.63,57.06,4.05,0.06,950.14,42.25,81.02,0.1,..0.97
2.75,57.99,7.06,24.26,23.63,6.74,2.03,41.22,53.28,2.17,0.61,383.42,96.05,76.23,0.1,..0.97
7.5,100,8.42,9.4,69.79,27.6,8.92,45.57,24.14,8.55,0.2,781.1,7.11,35.45,0.1,..0.97
3.67,24.34,6.76,9.73,71.59,7.27,0.53,66.3,38.51,7.18,0.1,340.52,52.32,93.73,0.1,..0.97
2.09,17.99,7.84,11.32,47.26,11.68,2.84,19.32,66.71,1.56,0.21,747.07,45.4,92.8,0.1,..0.97
0.85,24.65,5.89,13.41,44.18,6.59,0.76,29.75,72.56,3.63,0.53,410.02,68.28,36.58,0.1,..0.97
1.51,100,9.44,7.33,88.73,28.67,4.13,56.36,45.63,7.42,0.81,545.17,20.78,12.9,0.1,..0.97
6.31,13.05,6.45,8.4,48.94,7.6,4.57,55,82.92,1.32,0,22.65,43.57,13.94,0.1,..0.97
4.16,22.46,2.06,8.52,49.66,5.48,2.36,50.4,97.08,1.43,0.35,862.13,25.88,86.38,0.1,..0.97
6.4,56.59,7.97,26.82,16.91,3.18,1.61,59.61,1.96,1.9,0.84,910.47,84.3,44.41,0.1,..0.97
7.82,57.01,2.92,10.41,72.23,16.59,1.93,44.6,76.45,8.2,0.51,392.33,93.06,59.71,0.1,..0.97
8.21,8.23,9.96,5.41,51.36,5.59,0.47,85.2,26.55,6.48,0.97,141.47,82.17,11.68,0.11,..0.97
1.92,100,3.56,8.4,72.89,28.6,8.72,96.25,66.58,5.57,0.34,87.6,63.08,53.93,0.11,..0.97
3.17,62.63,1.37,13.23,70.52,15.77,2.43,35.93,8.98,2.57,0.53,72.53,92.34,34.05,0.11,..0.97
8.86,49.08,9.39,14.13,51.46,12.87,1.03,36.67,37.32,7.38,0.76,175.84,28.2,64.48,0.11,..0.97
9.78,54.65,1.91,19.77,36.51,12.23,0.95,40.09,35.61,8.57,0.83,86.41,21.95,93.7,0.11,..0.97
6.83,26.68,3.88,10.77,46.2,5.23,1.46,39.49,61.89,1.61,0.86,546.29,18.86,11.12,0.11,..0.97
7.48,74.29,2.37,37.04,1.11,0,4.77,71.78,27.62,2.84,0.39,791.12,74.47,22,0.11,..0.97
0.87,11.33,8.22,5.59,50.13,4.41,0.93,78.95,4.11,2.27,0.89,33.77,42.9,75.9,0.11,..0.97
8.62,7.76,1.73,6,82.77,7,0.42,33.12,98.99,3.19,0.67,8.59,3.45,49.02,0.11,..0.97
4.02,26.19,0.56,10.07,78.6,8.93,0.67,64.97,42.9,4.81,0.73,686.46,91.9,54.8,0.11,..0.97
4.93,49.68,7.46,12.47,51.32,14.53,2.14,84.13,27.33,3.11,0.77,355.37,43.67,89.29,0.11,..0.97
2.59,81.62,5.53,19.29,44.28,13.71,1.9,17.81,8.03,6.18,0.2,711.91,19.83,91.74,0.11,..0.97
3.75,24.26,4.59,11.31,73.73,4.69,0.89,48.69,1.37,2.77,0.21,225.97,53.94,90.02,0.11,..0.97
2.48,66.51,1.89,14.15,58.67,13.85,1.28,52.07,37.96,8.77,0.32,0,9.09,50.02,0.11,..0.97
5.48,100,5.71,7.64,42.32,26.36,7,99.02,2.76,4.11,0.43,634.03,81.21,6.92,0.11,..0.97
7.97,100,8.58,14.2,5.58,23.8,5.84,32.03,75.86,4.45,0.15,494.02,88.12,91.04,0.12,..0.97
7.85,100,4.61,7.44,66,28.56,7.75,47.17,54.2,5.43,0.57,0.6,44.62,34.23,0.12,..0.97
0.68,69.44,0.03,8.01,97.87,19.99,8.54,6.27,33.27,7.59,0.02,442.39,54.26,13.84,0.12,..0.97
3.47,4.27,4.33,5.69,61.35,4.31,0.39,76.55,92.8,1.86,0.53,81.16,24.77,22.36,0.12,..0.97
8.97,12.21,2.03,16.55,11.23,0.45,0.38,46.33,45.17,3.02,0.64,17.78,47.08,26.12,0.12,..0.97
2.93,58.59,2.98,15.87,83.2,16.13,2.47,37.27,27.47,1.69,0.37,722.25,8.47,93.86,0.12,..0.97
7.06,6.75,4.16,8.55,16.82,0.45,0.26,10.01,72.51,4.01,0.56,220.12,31.96,65.09,0.12,..0.97
4.11,54.43,1.02,15.63,55.53,16.37,1.08,31.35,85.14,7.76,0.68,31.46,94.84,4.85,0.12,..0.97
7.17,15.74,8.14,4.67,72.84,7.33,1.78,56.33,67.69,8.33,0,96.45,28.02,95.85,0.12,..0.97
3.85,40.24,5.15,9.74,54.49,9.26,2.39,76.1,42.3,1.9,0.68,902.37,85.27,60,0.12,..0.97
5.97,100,4.5,9.96,30.26,28.04,9.14,31.4,21.52,1.57,0.62,0,12.02,2.04,0.13,..0.97
7.46,52.88,3.83,27.93,6.69,0.07,1.38,68.27,38.17,6.32,0.29,572.97,24.88,8.64,0.13,..0.97
6.3,62.52,2.43,15.84,62.14,11.16,1.6,39.53,0.15,2.89,0.7,138.01,88.03,93.81,0.13,..0.97
4.78,100,7.34,8.51,52.81,26.49,5.96,43.84,10.57,1.61,0.91,445.36,10.52,41.6,0.13,..0.97
8.38,2.43,9.49,5.25,48.05,3.75,0.26,0.98,53.92,2.25,0.19,976.44,9.39,3.85,0.13,..0.97
8.62,22.98,3.32,7.46,48.33,7.54,9.78,62.73,65.9,2.27,0,600.74,17.48,61.22,0.13,..0.97
1.19,70.03,9.76,12.12,68.62,16.88,3.94,48.99,16.06,2.35,0.41,840.38,15.58,27.66,0.13,..0.97
8.28,22.88,0.12,10.81,78.91,6.19,1.24,67.07,98.82,1.83,0.42,902.3,24.72,46.32,0.14,..0.97
4.74,100,0.23,6.65,43.2,27.35,6.29,2.16,70.77,1.94,0.34,584.71,43.81,30.4,0.14,..0.97
0.63,14.49,6.58,15.86,8.08,0.14,1.88,85.93,25.24,1.17,0.31,559.14,83.59,48.61,0.14,..0.97
9.84,100,6.42,9.85,31.88,26.15,7.08,37.29,99.94,6.19,0.74,12.08,89.49,7.44,0.14,..0.97
1.56,100,9.49,5.93,31.21,28.07,8.12,60.13,8.77,6.81,0.01,162.84,61.71,34.23,0.14,..0.97
5.7,100,9.77,9.68,39.65,26.32,4.78,3.93,48.7,2.77,0.51,454.61,33.04,8.63,0.14,..0.97
1.88,100,8.06,6.89,32.57,28.11,4.83,76.47,71.38,5.27,0.17,326.21,77.65,4.16,0.14,..0.97
8.92,100,9.9,7.55,52.71,28.45,4.61,80.22,78.45,8.6,0.75,716.61,25.65,70.59,0.14,..0.97
2.29,61.25,5.42,16.34,52.79,9.66,0.98,94.36,77.27,5.79,0.61,624.12,57.93,40.34,0.14,..0.97
1.9,100,5.1,8.47,59.94,27.53,3.66,52.23,6.45,2.77,0.91,323.24,77.91,44.74,0.15,..0.97
5.96,100,0.16,7.3,90.29,26.7,8.01,1.78,7.31,9.44,0.69,50.18,90.96,22.91,0.15,..0.97
6.23,100,0.89,4.38,76.14,28.62,5.45,52.88,79.15,2.61,0.71,24.14,54.86,77.2,0.15,..0.97
7.58,10.93,7.92,7.77,2.37,0,1.83,59.23,57.94,2.94,0,245.68,41,95.34,0.15,..0.97
7.53,100,4.59,9.38,70.8,26.62,3.64,57.41,11.6,4.48,0.78,815.38,45.25,53.75,0.15,..0.97
9.38,40.66,7.43,5.47,83.38,10.53,5.32,74.18,51.25,2.38,0.35,516.96,54.34,82.11,0.15,..0.97
8.46,84.55,7.67,11.79,78.46,19.21,3.56,81.55,54.42,6.45,0.15,545.79,87.52,63.74,0.16,..0.97
6.26,100,3.84,8.39,69.93,26.61,3.63,43.79,74.2,6.78,0.31,344.71,75.39,70.25,0.16,..0.97
5.49,5.78,6.55,10.78,10.39,0.22,0.61,78.55,59.55,1.52,0.11,147.87,21.58,39.05,0.16,..0.97
3.07,65.71,1.73,10.73,76.14,16.27,2.27,73.51,5.1,9.44,0.02,560.3,96.73,10.39,0.16,..0.97
1.35,100,6.32,11.34,8.69,25.66,6.13,88.35,76.88,9.81,0.17,228.4,52.02,28.92,0.16,..0.97
3.93,100,1.71,4.39,74.31,28.61,7.09,26.03,93.93,4.66,0.08,821.67,9.08,26.79,0.16,..0.97
5.09,100,4.58,9.68,41.47,27.32,7.45,5.42,79.55,6.01,0.2,562.07,56.16,84.61,0.16,..0.97
6.09,100,0.68,8.49,18.17,25.51,8.33,85.86,67.39,1.78,0.54,671.24,30.9,25.67,0.16,..0.97
7.38,100,4.48,7.68,17.27,27.32,5.03,79.75,9.87,8.74,0.24,20.49,10.69,32.11,0.16,..0.97
1.04,100,6.31,8.32,83.28,26.68,5.55,2.24,91.6,9.3,0.82,711.59,26.91,79.17,0.16,..0.97
7.86,22.01,7.53,4.98,93.39,8.02,1,53.29,67.33,7.75,0.53,613.76,34.07,54.23,0.16,..0.97
5.12,100,8.88,7.61,46.01,27.39,5.94,67.71,16.71,3.49,0.69,526.07,13.85,76.65,0.17,..0.97
3.5,100,9.55,8.3,88.84,26.7,5.61,98.38,13.88,8.61,0.69,823.8,14.14,15.77,0.17,..0.97
7.54,100,2,6.55,52.81,28.45,3.24,47.35,52.4,7.94,0.7,632.45,53.31,10.23,0.17,..0.97
3.49,100,3.33,6.02,26.46,25.98,4.33,36.61,25.31,1.31,0.96,869.44,37.77,57.64,0.17,..0.97
0.51,100,0.76,8.34,76.68,25.66,1.96,78.44,24.59,9.1,0.9,567.28,43.16,96.52,0.17,..0.97
3.85,100,5.44,9.61,47.93,28.39,5.55,23.53,95.94,5.73,0.01,216.64,39.19,59.65,0.17,..0.97
9.43,64.93,4.24,9.39,68.86,15.61,4.46,58.75,58.16,2.77,0.49,736.83,66.23,5.79,0.17,..0.97
0.37,6.17,7.04,2.93,47.61,1.07,1.2,0.16,27.09,1.38,0.98,403.36,36.27,60.97,0.18,..0.97
5.07,100,1.64,7.57,47.07,26.43,8.89,54.15,14.6,4.84,0.97,0,15.75,47.36,0.18,..0.97
6.23,58.1,0.65,14.09,77.19,10.91,2.73,46.25,11.2,1.11,0.69,68.59,57,97.65,0.18,..0.97
8.74,33.84,5.3,8.36,54.74,4.64,1.88,53.37,20.83,3.51,0.03,0,90.27,28.69,0.18,..0.97
5.93,100,9.73,10.79,7.66,25.21,1.54,57.63,20.43,9.74,0.95,0,12.34,96.26,0.18,..0.97
9.25,100,3.01,7.57,47.07,26.43,4.39,13.56,36.33,7.37,0.22,112.92,44.14,50.77,0.18,..0.97
4.2,56.64,2.95,10.54,78.41,16.46,3.49,88.13,9.43,4.12,0.15,647.15,83.81,49.81,0.18,..0.97
8.81,100,6.62,9.91,9.63,25.09,8.46,39.72,48.7,1.94,0.93,332.99,40.23,38.58,0.18,..0.97
5.08,100,2.69,4.58,49.86,28.42,7.94,55.21,67.74,7.51,0.32,245.04,17.64,35.12,0.18,..0.97
5.45,39.51,5.76,8.94,62.1,8.06,2.44,74.91,79.39,3.4,0.18,189.97,88.32,12.44,0.18,..0.97
4.69,31.6,7.46,4.63,89.92,9.37,5.63,17.94,95.07,4.45,0.08,402.99,85.44,74.89,0.18,..0.97
1.34,100,5.5,7.41,70.95,28.59,4.72,92.45,32.27,2.65,0.54,451.5,50.89,21.56,0.18,..0.97
3.38,100,1.74,6.96,29.1,27.04,2.27,26.64,35.02,4.66,0.87,12.94,7.88,42.68,0.18,..0.97
0.56,100,4.35,4.37,77.44,28.63,8.18,37.69,51.9,3.65,0.06,246.91,63.86,66.1,0.19,..0.97
4.87,28.78,3.41,10.84,64.63,3.16,0.31,71.07,17.47,9.78,0.72,644.96,83.55,89.25,0.19,..0.97
9.35,100,5.52,6.57,47.59,26.43,4.33,90.99,58.93,5.29,0.85,546.46,15.79,40.04,0.19,..0.97
7.83,100,4.4,7.99,28.16,27.01,6.31,15.6,15.61,4.51,0.59,563.05,23.37,38.42,0.19,..0.97
8.92,46.65,0.01,12.57,58.63,8.43,0.83,4.74,79.27,6.58,0.69,569.01,89.25,17.28,0.19,..0.97
4.44,100,6.52,8.98,26.46,25.02,3.89,77.5,38.76,2.84,0.77,391.74,12.06,29.12,0.19,..0.97
6.09,1.44,8.31,2.97,28.63,1.03,0.59,9.92,41.55,1.47,0.3,151.08,82.15,55.79,0.19,..0.97
1.6,100,5.26,7.37,76.39,27.63,4.69,93.87,63.84,8.51,0.02,266.3,55.87,41.67,0.19,..0.97
0.31,100,1.5,10.37,10.99,23.63,8.21,55.71,63.48,5.93,0.54,0,38.52,2.95,0.19,..0.97
1.15,47.72,6.74,11.85,55.11,8.15,2.34,45.53,33.13,2.63,0.31,554.98,98.78,47.61,0.19,..0.97
7.95,5.53,4.51,5.46,85.41,3.54,0.34,89.59,16.71,3.22,0.13,829.29,73.02,42.61,0.19,..0.97
0.83,100,8.18,7.71,39.52,27.29,4.33,44.19,26.65,4.15,0.15,798.75,44.15,87.48,0.2,..0.97
2.8,100,9.11,4.38,73.95,27.62,4.95,36.04,52.97,8.05,0.32,603.59,51.84,43.59,0.2,..0.97
7.9,100,3.77,8.26,98.86,25.74,7.64,5.25,27.77,1.46,0.88,893.76,75.3,22.92,0.2,..0.97
5.88,23.74,6.49,7.64,73.64,7.36,0.66,96.51,72.13,6.34,0.9,196.33,79.14,7.09,0.2,..0.97
2.74,53.09,2.84,9.29,62.77,13.71,3.16,87,79.03,7.75,0.4,475.39,27.92,77.73,0.2,..0.97
5.72,100,5.05,6.66,42.29,27.34,5.73,43.93,59.9,3.9,0.15,100.75,46.53,98.07,0.2,..0.97
2.73,100,5.44,8.64,17.65,27.36,3.48,14.27,15.09,6.05,0.91,636.97,69.31,7.34,0.2,..0.97
2.85,100,8.99,8.38,68.28,25.62,7.15,48.44,54.46,7.13,0.74,6.22,96.68,6.55,0.2,..0.97
7.97,100,2.84,5.93,29.02,26.07,3.42,74.15,4.24,5.45,0.64,532.49,73.89,87.02,0.2,..0.97
7.66,56.61,5.04,20.96,19.12,4.04,3.01,57.45,86.63,4.29,0.07,177.26,46.68,96.28,0.21,..0.97
1.83,100,3.59,8.48,17.51,24.52,6.3,68.95,84.41,5.23,0.74,773.82,32.77,37.76,0.21,..0.97
6.25,100,8.88,11.86,8.73,22.14,8.54,12.3,43.07,8.94,0.48,0,39.14,36,0.21,..0.97
6.87,100,0.1,8.99,14.09,26.01,9.58,93.42,98.99,7.58,0.9,591.75,65.73,37.93,0.21,..0.97
1.02,6.07,5.65,3.58,34.63,0.42,0.68,82.23,48.47,2.35,0.62,469.89,15.79,97.33,0.21,..0.97
